# IGLA-Coder beta2 sweep -- lr, wd, beta1 ALL pinned standard; only beta2 (second-moment decay) varies; grad_clip INERT in this trainer, not swept; phi-native beta2 candidates are the axis origin, not a claim; phi^2 + phi^-2 = 3
beta2,beta2_label,seed,code_val_bpb,pinned_beta1,pinned_weight_decay,pinned_lr,steps,hidden,fim_loss
0.9990000000,standard (null),42,2.4141,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9990000000,standard (null),43,2.3981,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9990000000,standard (null),44,2.3442,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9800000000,,42,2.2786,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9800000000,,43,2.1887,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9800000000,,44,2.1907,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9660000000,~1-phi^-7,42,2.2394,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9660000000,~1-phi^-7,43,2.2116,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9660000000,~1-phi^-7,44,2.2125,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9500000000,,42,2.2151,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9500000000,,43,2.2194,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9500000000,,44,2.2606,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9200000000,,42,2.2847,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9200000000,,43,2.2016,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9200000000,,44,2.2323,0.9000000000,0.0400000000,0.0020000000,800,64,all
