# IGLA-Coder beta2 sweep -- lr, wd, beta1 ALL pinned standard; only beta2 (second-moment decay) varies; grad_clip INERT in this trainer, not swept; phi-native beta2 candidates are the axis origin, not a claim; phi^2 + phi^-2 = 3
beta2,beta2_label,seed,code_val_bpb,pinned_beta1,pinned_weight_decay,pinned_lr,steps,hidden,fim_loss
0.9990000000,standard (null),42,2.4141,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9990000000,standard (null),43,2.3981,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9990000000,standard (null),44,2.3442,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9660000000,~1-phi^-7,42,2.2394,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9660000000,~1-phi^-7,43,2.2116,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.9660000000,~1-phi^-7,44,2.2125,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.7640000000,~1-phi^-3,42,2.3683,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.7640000000,~1-phi^-3,43,2.3158,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.7640000000,~1-phi^-3,44,2.3482,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.6180000000,phi^-1,42,4.5639,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.6180000000,phi^-1,43,4.2992,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.6180000000,phi^-1,44,5.2755,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.3820000000,1/phi^2,42,39.8631,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.3820000000,1/phi^2,43,39.5517,0.9000000000,0.0400000000,0.0020000000,800,64,all
0.3820000000,1/phi^2,44,24.2775,0.9000000000,0.0400000000,0.0020000000,800,64,all
