# IGLA-Coder generator-axis ablation ISO-EVERYTHING -- lr AND weight_decay pinned equal across arms; only beta1 (momentum) varies; phi is the axis origin, not a claim; phi^2 + phi^-2 = 3
generator,seed,code_val_bpb,beta1,pinned_weight_decay,axis_weight_decay_ignored,pinned_lr,lr_mult_ignored,steps,hidden,fim_loss
phi,42,2.4273,0.6180339887,0.0400000000,0.2360679775,0.0020000000,0.2360679775,800,64,all
phi,43,2.3305,0.6180339887,0.0400000000,0.2360679775,0.0020000000,0.2360679775,800,64,all
phi,44,2.3164,0.6180339887,0.0400000000,0.2360679775,0.0020000000,0.2360679775,800,64,all
dyadic,42,2.4183,0.5000000000,0.0400000000,0.1250000000,0.0020000000,0.1250000000,800,64,all
dyadic,43,2.3473,0.5000000000,0.0400000000,0.1250000000,0.0020000000,0.1250000000,800,64,all
dyadic,44,2.3012,0.5000000000,0.0400000000,0.1250000000,0.0020000000,0.1250000000,800,64,all
e,42,2.4105,0.3678794412,0.0400000000,0.0497870684,0.0020000000,0.0497870684,800,64,all
e,43,2.3878,0.3678794412,0.0400000000,0.0497870684,0.0020000000,0.0497870684,800,64,all
e,44,2.3153,0.3678794412,0.0400000000,0.0497870684,0.0020000000,0.0497870684,800,64,all
standard,42,2.4141,0.9000000000,0.0400000000,0.0400000000,0.0020000000,1.0000000000,800,64,all
standard,43,2.3981,0.9000000000,0.0400000000,0.0400000000,0.0020000000,1.0000000000,800,64,all
standard,44,2.3442,0.9000000000,0.0400000000,0.0400000000,0.0020000000,1.0000000000,800,64,all
