# IGLA-Coder generator-axis ablation ISO-LR (Coder-Loop+8) -- phi is the axis origin, not a claim; effective lr held equal across arms (lr_mult IGNORED); corpus regenerated post-sandbox-reset (train=1108511 tok); phi^2 + phi^-2 = 3
generator,seed,code_val_bpb,beta1,weight_decay,effective_lr,lr_mult_ignored,steps,hidden,fim_loss
standard,42,2.6726,0.9000000000,0.0400000000,0.0020000000,1.0000000000,800,64,all
standard,43,2.6108,0.9000000000,0.0400000000,0.0020000000,1.0000000000,800,64,all
standard,44,2.6845,0.9000000000,0.0400000000,0.0020000000,1.0000000000,800,64,all
phi,42,2.7441,0.6180339887,0.2360679775,0.0020000000,0.2360679775,800,64,all
phi,43,2.7181,0.6180339887,0.2360679775,0.0020000000,0.2360679775,800,64,all
phi,44,2.7824,0.6180339887,0.2360679775,0.0020000000,0.2360679775,800,64,all
dyadic,42,2.6166,0.5000000000,0.1250000000,0.0020000000,0.1250000000,800,64,all
dyadic,43,2.6439,0.5000000000,0.1250000000,0.0020000000,0.1250000000,800,64,all
dyadic,44,2.6799,0.5000000000,0.1250000000,0.0020000000,0.1250000000,800,64,all
e,42,2.5808,0.3678794412,0.0497870684,0.0020000000,0.0497870684,800,64,all
e,43,2.6281,0.3678794412,0.0497870684,0.0020000000,0.0497870684,800,64,all
e,44,2.6282,0.3678794412,0.0497870684,0.0020000000,0.0497870684,800,64,all
