arm,seed,hidden,steps,lr,wd,final_val_bpb,best_val_bpb
standard,42,128,1000,0.01,0.02,4.0091,3.9922
standard,43,128,1000,0.01,0.02,4.4069,4.0780
standard,44,128,1000,0.01,0.02,3.9186,3.9186
standard,45,128,1000,0.01,0.02,4.3122,4.1655
standard,46,128,1000,0.01,0.02,4.0523,4.0523
standard,47,128,1000,0.01,0.02,3.8604,3.8604
phi_b1,42,128,1000,0.01,0.02,4.0186,3.9080
phi_b1,43,128,1000,0.01,0.02,5.3892,3.9341
phi_b1,44,128,1000,0.01,0.02,3.9235,3.9235
phi_b1,45,128,1000,0.01,0.02,4.7020,4.3386
phi_b1,46,128,1000,0.01,0.02,4.0860,4.0166
phi_b1,47,128,1000,0.01,0.02,3.9177,3.9177
