config,beta1,wd,lr,seed,code_val_bpb
standard_lr03_wd04,0.9,0.04,0.03,42,4.3111
standard_lr03_wd04,0.9,0.04,0.03,43,4.5282
standard_lr03_wd04,0.9,0.04,0.03,44,4.3456
standard_lr03_wd02,0.9,0.02,0.03,42,3.7942
standard_lr03_wd02,0.9,0.02,0.03,43,3.7646
standard_lr03_wd02,0.9,0.02,0.03,44,3.7656
standard_philr_wd02,0.9,0.02,0.0185410197,42,4.0445
standard_philr_wd02,0.9,0.02,0.0185410197,43,4.1093
standard_philr_wd02,0.9,0.02,0.0185410197,44,4.1028
allphi,0.6180339887,0.2360679775,0.0185410197,42,8.0383
allphi,0.6180339887,0.2360679775,0.0185410197,43,8.0389
allphi,0.6180339887,0.2360679775,0.0185410197,44,7.9582
phi_tempered_philr_wd02,0.6180339887,0.02,0.0185410197,42,4.2874
phi_tempered_philr_wd02,0.6180339887,0.02,0.0185410197,43,4.2484
phi_tempered_philr_wd02,0.6180339887,0.02,0.0185410197,44,4.1586
