arm,beta1,seed,wd,bpb
phi_b1,0.618,42,0.04,5.0999
phi_b1,0.618,42,0.02,3.8971
phi_b1,0.618,42,0.01,3.6241
phi_b1,0.618,43,0.04,5.5880
phi_b1,0.618,43,0.02,3.9196
phi_b1,0.618,43,0.01,3.6572
phi_b1,0.618,44,0.04,5.1622
phi_b1,0.618,44,0.02,3.8623
phi_b1,0.618,44,0.01,3.6404
standard,0.9,42,0.04,4.3111
standard,0.9,42,0.02,3.7942
standard,0.9,42,0.01,3.7186
standard,0.9,43,0.04,4.5282
standard,0.9,43,0.02,3.7646
standard,0.9,43,0.01,3.5881
standard,0.9,44,0.04,4.3456
standard,0.9,44,0.02,3.7656
standard,0.9,44,0.01,3.6164
