# f2_ablation_sweep provenance (W3C PROV / RO-Crate, arXiv:2312.07852)
# prov:generatedAt = 1780310200 (unix seconds UTC)
# prov:wasGeneratedBy = f2_ablation_sweep --mode warmup_stratified --steps 200
# prov:agent_git_sha = 6ac812d
# prov:host = playras-MacBook-Pro.local
# prov:trainer_internals_schema = trainer_internals_v1_2026_06_01
# prov:cargo_pkg_version = 0.1.0
# Bump trainer_internals_schema in src/race/multi_seed.rs when LCG/init/forward changes.
mode,fix_name,fix_index,cumulative_n,seed,bpb,config_hash,wall_s
warmup0_cumulative,baseline,0,0,42,0.659831,0x34c4fa8f4a9b6986,1.558
warmup0_cumulative,baseline,0,0,43,1.261980,0x34c4fa8f4a9b6986,1.558
warmup0_cumulative,baseline,0,0,44,1.203013,0x34c4fa8f4a9b6986,1.558
warmup0_cumulative,baseline,0,0,45,0.743538,0x34c4fa8f4a9b6986,1.558
warmup0_cumulative,baseline,0,0,46,1.011571,0x34c4fa8f4a9b6986,1.558
warmup0_cumulative,rms,1,1,42,0.715138,0xe88d3f4ca166a0e7,1.532
warmup0_cumulative,rms,1,1,43,0.695619,0xe88d3f4ca166a0e7,1.532
warmup0_cumulative,rms,1,1,44,0.801220,0xe88d3f4ca166a0e7,1.532
warmup0_cumulative,rms,1,1,45,0.311537,0xe88d3f4ca166a0e7,1.532
warmup0_cumulative,rms,1,1,46,0.269571,0xe88d3f4ca166a0e7,1.532
warmup0_cumulative,warmup,2,2,42,0.715138,0xe88d3f4ca166a0e7,1.568
warmup0_cumulative,warmup,2,2,43,0.695619,0xe88d3f4ca166a0e7,1.568
warmup0_cumulative,warmup,2,2,44,0.801220,0xe88d3f4ca166a0e7,1.568
warmup0_cumulative,warmup,2,2,45,0.311537,0xe88d3f4ca166a0e7,1.568
warmup0_cumulative,warmup,2,2,46,0.269571,0xe88d3f4ca166a0e7,1.568
warmup0_cumulative,gradclip,3,3,42,0.763957,0xe34e643dd0ae8b9a,1.531
warmup0_cumulative,gradclip,3,3,43,0.718357,0xe34e643dd0ae8b9a,1.531
warmup0_cumulative,gradclip,3,3,44,0.831661,0xe34e643dd0ae8b9a,1.531
warmup0_cumulative,gradclip,3,3,45,0.280913,0xe34e643dd0ae8b9a,1.531
warmup0_cumulative,gradclip,3,3,46,0.283562,0xe34e643dd0ae8b9a,1.531
warmup0_cumulative,clamp,4,4,42,0.763957,0xd7e8f170232b7c87,1.534
warmup0_cumulative,clamp,4,4,43,0.718357,0xd7e8f170232b7c87,1.534
warmup0_cumulative,clamp,4,4,44,0.831661,0xd7e8f170232b7c87,1.534
warmup0_cumulative,clamp,4,4,45,0.280913,0xd7e8f170232b7c87,1.534
warmup0_cumulative,clamp,4,4,46,0.283562,0xd7e8f170232b7c87,1.534
warmup0_cumulative,smooth,5,5,42,0.763957,0xe7abd2f0afd95725,1.534
warmup0_cumulative,smooth,5,5,43,0.718357,0xe7abd2f0afd95725,1.534
warmup0_cumulative,smooth,5,5,44,0.831661,0xe7abd2f0afd95725,1.534
warmup0_cumulative,smooth,5,5,45,0.280913,0xe7abd2f0afd95725,1.534
warmup0_cumulative,smooth,5,5,46,0.283562,0xe7abd2f0afd95725,1.534
warmup0_cumulative,wd,6,6,42,4.983576,0x0ea23382abc0d134,1.581
warmup0_cumulative,wd,6,6,43,5.036129,0x0ea23382abc0d134,1.581
warmup0_cumulative,wd,6,6,44,5.055425,0x0ea23382abc0d134,1.581
warmup0_cumulative,wd,6,6,45,5.075997,0x0ea23382abc0d134,1.581
warmup0_cumulative,wd,6,6,46,5.036341,0x0ea23382abc0d134,1.581
warmup0_cumulative,dropout,7,7,42,5.108934,0x5b771a9fcf147a76,1.561
warmup0_cumulative,dropout,7,7,43,5.109877,0x5b771a9fcf147a76,1.561
warmup0_cumulative,dropout,7,7,44,5.162536,0x5b771a9fcf147a76,1.561
warmup0_cumulative,dropout,7,7,45,5.138375,0x5b771a9fcf147a76,1.561
warmup0_cumulative,dropout,7,7,46,5.140157,0x5b771a9fcf147a76,1.561
warmup0_loco,rms,0,,42,5.999999,0x9d8097c4b39b2b9b,1.313
warmup0_loco,rms,0,,43,5.999999,0x9d8097c4b39b2b9b,1.313
warmup0_loco,rms,0,,44,5.999999,0x9d8097c4b39b2b9b,1.313
warmup0_loco,rms,0,,45,5.999999,0x9d8097c4b39b2b9b,1.313
warmup0_loco,rms,0,,46,5.999999,0x9d8097c4b39b2b9b,1.313
warmup0_loco,warmup,1,,42,5.108934,0x5b771a9fcf147a76,1.552
warmup0_loco,warmup,1,,43,5.109877,0x5b771a9fcf147a76,1.552
warmup0_loco,warmup,1,,44,5.162536,0x5b771a9fcf147a76,1.552
warmup0_loco,warmup,1,,45,5.138375,0x5b771a9fcf147a76,1.552
warmup0_loco,warmup,1,,46,5.140157,0x5b771a9fcf147a76,1.552
warmup0_loco,gradclip,2,,42,5.088123,0x0fdbf670cfc806db,1.560
warmup0_loco,gradclip,2,,43,5.104992,0x0fdbf670cfc806db,1.560
warmup0_loco,gradclip,2,,44,5.175659,0x0fdbf670cfc806db,1.560
warmup0_loco,gradclip,2,,45,5.118495,0x0fdbf670cfc806db,1.560
warmup0_loco,gradclip,2,,46,5.083070,0x0fdbf670cfc806db,1.560
warmup0_loco,clamp,3,,42,5.108934,0x0fdbf670cfc806db,1.592
warmup0_loco,clamp,3,,43,5.109877,0x0fdbf670cfc806db,1.592
warmup0_loco,clamp,3,,44,5.162536,0x0fdbf670cfc806db,1.592
warmup0_loco,clamp,3,,45,5.138375,0x0fdbf670cfc806db,1.592
warmup0_loco,clamp,3,,46,5.140157,0x0fdbf670cfc806db,1.592
warmup0_loco,smooth,4,,42,5.108934,0x6e9fad3ace3ed280,1.549
warmup0_loco,smooth,4,,43,5.109877,0x6e9fad3ace3ed280,1.549
warmup0_loco,smooth,4,,44,5.162536,0x6e9fad3ace3ed280,1.549
warmup0_loco,smooth,4,,45,5.138375,0x6e9fad3ace3ed280,1.549
warmup0_loco,smooth,4,,46,5.140157,0x6e9fad3ace3ed280,1.549
warmup0_loco,wd,5,,42,0.263212,0x80d845483b97c88b,1.517
warmup0_loco,wd,5,,43,0.258395,0x80d845483b97c88b,1.517
warmup0_loco,wd,5,,44,0.242818,0x80d845483b97c88b,1.517
warmup0_loco,wd,5,,45,0.269532,0x80d845483b97c88b,1.517
warmup0_loco,wd,5,,46,0.251931,0x80d845483b97c88b,1.517
warmup0_loco,dropout,6,,42,4.983576,0x0ea23382abc0d134,1.581
warmup0_loco,dropout,6,,43,5.036129,0x0ea23382abc0d134,1.581
warmup0_loco,dropout,6,,44,5.055425,0x0ea23382abc0d134,1.581
warmup0_loco,dropout,6,,45,5.075997,0x0ea23382abc0d134,1.581
warmup0_loco,dropout,6,,46,5.036341,0x0ea23382abc0d134,1.581
warmup0_pairwise,full_stack,-1,,42,5.108934,0x5b771a9fcf147a76,1.538
warmup0_pairwise,full_stack,-1,,43,5.109877,0x5b771a9fcf147a76,1.538
warmup0_pairwise,full_stack,-1,,44,5.162536,0x5b771a9fcf147a76,1.538
warmup0_pairwise,full_stack,-1,,45,5.138375,0x5b771a9fcf147a76,1.538
warmup0_pairwise,full_stack,-1,,46,5.140157,0x5b771a9fcf147a76,1.538
warmup0_pairwise,pair_rms_warmup,0,,42,5.999999,0x9d8097c4b39b2b9b,1.323
warmup0_pairwise,pair_rms_warmup,0,,43,5.999999,0x9d8097c4b39b2b9b,1.323
warmup0_pairwise,pair_rms_warmup,0,,44,5.999999,0x9d8097c4b39b2b9b,1.323
warmup0_pairwise,pair_rms_warmup,0,,45,5.999999,0x9d8097c4b39b2b9b,1.323
warmup0_pairwise,pair_rms_warmup,0,,46,5.999999,0x9d8097c4b39b2b9b,1.323
warmup0_pairwise,pair_rms_gradclip,1,,42,5.999999,0x4900b6e3f78f5c96,1.343
warmup0_pairwise,pair_rms_gradclip,1,,43,5.999999,0x4900b6e3f78f5c96,1.343
warmup0_pairwise,pair_rms_gradclip,1,,44,5.999999,0x4900b6e3f78f5c96,1.343
warmup0_pairwise,pair_rms_gradclip,1,,45,5.999999,0x4900b6e3f78f5c96,1.343
warmup0_pairwise,pair_rms_gradclip,1,,46,5.999999,0x4900b6e3f78f5c96,1.343
warmup0_pairwise,pair_rms_clamp,2,,42,5.999999,0x4900b6e3f78f5c96,1.366
warmup0_pairwise,pair_rms_clamp,2,,43,5.999999,0x4900b6e3f78f5c96,1.366
warmup0_pairwise,pair_rms_clamp,2,,44,5.999999,0x4900b6e3f78f5c96,1.366
warmup0_pairwise,pair_rms_clamp,2,,45,5.999999,0x4900b6e3f78f5c96,1.366
warmup0_pairwise,pair_rms_clamp,2,,46,5.999999,0x4900b6e3f78f5c96,1.366
warmup0_pairwise,pair_rms_smooth,3,,42,5.999999,0x8a739b2714301545,1.409
warmup0_pairwise,pair_rms_smooth,3,,43,5.999999,0x8a739b2714301545,1.409
warmup0_pairwise,pair_rms_smooth,3,,44,5.999999,0x8a739b2714301545,1.409
warmup0_pairwise,pair_rms_smooth,3,,45,5.999999,0x8a739b2714301545,1.409
warmup0_pairwise,pair_rms_smooth,3,,46,5.999999,0x8a739b2714301545,1.409
warmup0_pairwise,pair_rms_wd,4,,42,0.785157,0xae62e388d4083a66,1.535
