# Cross-stratum PSE comparison (Loop 48 Option C)
# `stable_across_strata` = true iff every pair of present 95% CIs overlap;
# false flags PSEs whose magnitude shifts MEANINGFULLY between strata.
fix_x,pse_name,estimate_canonical,ci95_lo_canonical,ci95_hi_canonical,estimate_wd0,ci95_lo_wd0,ci95_hi_wd0,estimate_warmup0,ci95_lo_warmup0,ci95_hi_warmup0,stable_across_strata
rms,NIE_M1,4.991728,4.422770,5.560686,0.000000,0.000000,0.000000,4.991728,4.422770,5.560686,false
clamp,NIE_M1,4.874798,4.837431,4.912165,0.000000,0.000000,0.000000,4.874798,4.837431,4.912165,false
smooth,NIE_M1,4.874798,4.837431,4.912165,0.000000,0.000000,0.000000,4.874798,4.837431,4.912165,false
clamp,NDE,-4.869644,-4.880285,-4.859003,-0.324815,-0.611439,-0.038192,-4.874798,-4.912165,-4.837431,false
smooth,NDE,-4.869644,-4.880285,-4.859003,-0.324815,-0.611439,-0.038192,-4.874798,-4.912165,-4.837431,false
gradclip,NDE,-4.744295,-5.000287,-4.488302,-0.199465,-0.673556,0.274625,-4.749448,-4.979226,-4.519671,false
gradclip,NIE_M1,4.731540,4.477503,4.985578,0.000000,0.000000,0.000000,4.731540,4.477503,4.985578,false
dropout,NDE,-4.551132,-4.887015,-4.215249,-0.006303,-0.342775,0.330170,-4.556286,-4.898308,-4.214263,false
dropout,NIE_M1,4.461804,4.104189,4.819418,0.000000,0.000000,0.000000,4.461804,4.104189,4.819418,false
rms,NDE,-4.118551,-4.682530,-3.554572,0.426278,0.007628,0.844929,-4.123705,-4.695250,-3.552160,false
rms,NIE_M2,1.267003,0.514118,2.019888,1.267003,0.514118,2.019888,0.000000,0.000000,0.000000,false
rms,NIE_chain,-1.267003,-2.019888,-0.514118,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,false
clamp,NIE_chain,-0.329969,-0.622548,-0.037390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,false
smooth,NIE_chain,-0.329969,-0.622548,-0.037390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,false
clamp,NIE_M2,0.324815,0.038192,0.611439,0.324815,0.038192,0.611439,0.000000,0.000000,0.000000,false
smooth,NIE_M2,0.324815,0.038192,0.611439,0.324815,0.038192,0.611439,0.000000,0.000000,0.000000,false
gradclip,NIE_M2,0.111322,-0.335071,0.557715,0.111322,-0.335071,0.557715,0.000000,0.000000,0.000000,true
gradclip,NIE_chain,-0.105497,-0.551027,0.340033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,true
dropout,NIE_M2,0.057436,-0.429623,0.544495,0.057436,-0.429623,0.544495,0.000000,0.000000,0.000000,true
dropout,NIE_chain,-0.051622,-0.560716,0.457472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,true
