# Cross-stratum PSE comparison (Loop 48 Option C)
# `stable_across_strata` = true iff every pair of present 95% CIs overlap;
# false flags PSEs whose magnitude shifts MEANINGFULLY between strata.
fix_x,pse_name,estimate_canonical,ci95_lo_canonical,ci95_hi_canonical,estimate_wd0,ci95_lo_wd0,ci95_hi_wd0,estimate_warmup0,ci95_lo_warmup0,ci95_hi_warmup0,stable_across_strata
gradclip,NIE_chain,-4.620219,-4.860300,-4.380137,-1.155681,-2.287017,-0.024345,0.000000,0.000000,0.000000,false
clamp,NIE_chain,-4.549983,-4.827692,-4.272274,-0.942188,-1.921877,0.037501,0.000000,0.000000,0.000000,false
smooth,NIE_chain,-4.549983,-4.827692,-4.272274,-0.942188,-1.921877,0.037501,0.000000,0.000000,0.000000,false
dropout,NIE_chain,-4.404367,-4.610703,-4.198031,-1.224392,-1.465502,-0.983283,0.000000,0.000000,0.000000,false
wd,NDE,-4.118551,-4.682530,-3.554572,0.426278,0.007628,0.844929,-4.123705,-4.695250,-3.552160,false
wd,NIE_M2,1.267003,0.514118,2.019888,1.267003,0.514118,2.019888,0.000000,0.000000,0.000000,false
dropout,NIE_M1,-0.962505,-1.005132,-0.919878,-0.400297,-0.786563,-0.014030,-0.962505,-1.005132,-0.919878,false
wd,NIE_chain,-0.942188,-1.921877,0.037501,-0.942188,-1.921877,0.037501,0.000000,0.000000,0.000000,true
gradclip,NIE_M1,-0.885931,-0.932096,-0.839766,-0.625744,-1.341011,0.089523,-0.885931,-0.932096,-0.839766,true
clamp,NDE,0.873177,0.856515,0.889839,0.426278,0.007628,0.844929,0.868023,0.839838,0.896208,false
dropout,NDE,0.873177,0.856515,0.889839,0.393994,0.044408,0.743580,0.868023,0.839838,0.896208,false
gradclip,NDE,0.873177,0.856515,0.889839,0.426278,0.007628,0.844929,0.868023,0.839838,0.896208,false
smooth,NDE,0.873177,0.856515,0.889839,0.426278,0.007628,0.844929,0.868023,0.839838,0.896208,false
clamp,NIE_M1,-0.868023,-0.896208,-0.839838,-0.751094,-1.324835,-0.177352,-0.868023,-0.896208,-0.839838,true
smooth,NIE_M1,-0.868023,-0.896208,-0.839838,-0.751094,-1.324835,-0.177352,-0.868023,-0.896208,-0.839838,true
wd,NIE_M1,-0.751094,-1.324835,-0.177352,-0.751094,-1.324835,-0.177352,-0.751094,-1.324835,-0.177352,true
clamp,NIE_M2,0.000000,0.000000,0.000000,1.267003,0.514118,2.019888,0.000000,0.000000,0.000000,false
dropout,NIE_M2,0.000000,0.000000,0.000000,1.281829,1.017390,1.546267,0.000000,0.000000,0.000000,false
gradclip,NIE_M2,0.000000,0.000000,0.000000,1.267003,0.514118,2.019888,0.000000,0.000000,0.000000,false
smooth,NIE_M2,0.000000,0.000000,0.000000,1.267003,0.514118,2.019888,0.000000,0.000000,0.000000,false
