# f2_ablation_sweep provenance (W3C PROV / RO-Crate, arXiv:2312.07852)
# prov:generatedAt = 1780324947 (unix seconds UTC)
# prov:wasGeneratedBy = f2_ablation_sweep --mode all --steps 200
# prov:agent_git_sha = be9b4c4
# prov:host = playras-MacBook-Pro.local
# prov:trainer_internals_schema = trainer_internals_v1_2026_06_01
# prov:cargo_pkg_version = 0.1.0
# Bump trainer_internals_schema in src/race/multi_seed.rs when LCG/init/forward changes.
mode,fix_name,fix_index,cumulative_n,seed,bpb,config_hash,wall_s
wd_sweep,wd_0.000,0,,42,0.432918,0xd772be103e8f9e53,1.366
wd_sweep,wd_0.000,0,,43,0.690983,0xd772be103e8f9e53,1.366
wd_sweep,wd_0.000,0,,44,0.819032,0xd772be103e8f9e53,1.366
wd_sweep,wd_0.000,0,,45,0.708475,0xd772be103e8f9e53,1.366
wd_sweep,wd_0.000,0,,46,0.258556,0xd772be103e8f9e53,1.366
wd_sweep,wd_0.005,1,,42,0.744372,0x8225eaf724e9c919,1.369
wd_sweep,wd_0.005,1,,43,0.852499,0x8225eaf724e9c919,1.369
wd_sweep,wd_0.005,1,,44,0.746987,0x8225eaf724e9c919,1.369
wd_sweep,wd_0.005,1,,45,1.181265,0x8225eaf724e9c919,1.369
wd_sweep,wd_0.005,1,,46,0.753851,0x8225eaf724e9c919,1.369
wd_sweep,wd_0.010,2,,42,1.180441,0xb74bfae8ddf6d5e9,1.371
wd_sweep,wd_0.010,2,,43,1.166349,0xb74bfae8ddf6d5e9,1.371
wd_sweep,wd_0.010,2,,44,1.306545,0xb74bfae8ddf6d5e9,1.371
wd_sweep,wd_0.010,2,,45,1.128043,0xb74bfae8ddf6d5e9,1.371
wd_sweep,wd_0.010,2,,46,1.313055,0xb74bfae8ddf6d5e9,1.371
wd_sweep,wd_0.030,3,,42,3.271508,0x0115642f1e3cea2f,1.394
wd_sweep,wd_0.030,3,,43,3.278779,0x0115642f1e3cea2f,1.394
wd_sweep,wd_0.030,3,,44,3.349041,0x0115642f1e3cea2f,1.394
wd_sweep,wd_0.030,3,,45,3.375992,0x0115642f1e3cea2f,1.394
wd_sweep,wd_0.030,3,,46,3.413017,0x0115642f1e3cea2f,1.394
wd_sweep,wd_0.100,4,,42,5.129347,0xd0e821e617e4141e,1.452
wd_sweep,wd_0.100,4,,43,5.140352,0xd0e821e617e4141e,1.452
wd_sweep,wd_0.100,4,,44,5.115363,0xd0e821e617e4141e,1.452
